Actions_taken,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Year_of_decision,Lower_court_disagreement
-0.22768243285877943,0.0,0.0,0.0,1.0,1968.729102189163,1.0
0.0,1.0,1.0,0.0,0.0,1971.2291853558154,0.0
0.0,1.0,1.0,0.0,1.0,1973.5090670318193,1.0
0.0,1.0,0.0,0.0,0.0,1962.7946549959333,1.0
1.0866612484544598,0.0,0.0,0.0,0.0,1969.8910780965382,0.0
-0.8798433589278958,0.0,0.0,0.0,1.0,1967.89186317434,0.0
-0.8657707156266962,1.0,0.0,0.0,0.0,1970.5532137407306,0.0
0.0,1.0,0.0,0.0,0.0,1962.161210246259,0.0
0.0,1.0,0.0,0.0,0.0,1978.6120831909318,1.0
0.0,1.0,0.0,0.0,0.0,1982.1906592325731,0.0
1.0,1.0,0.0,0.0,0.0,1975.26756197822,0.0
0.5191415103493034,1.0,0.0,0.0,0.0,1974.8261252373716,0.0
1.4498445060950889,1.0,0.0,0.0,0.0,1959.0,1.0
0.0,1.0,0.0,0.0,0.0,1970.4344358755804,0.0
0.0,1.0,0.0,0.0,1.0,1973.3228650849824,0.0
0.0,1.0,0.0,0.0,0.0,1982.8127903150903,1.0
0.009895055107253928,0.0,0.0,0.0,0.0,1964.3402756809185,0.0
0.27454741551330114,1.0,0.0,0.0,0.0,1974.994326686281,0.0
-0.8143480214506885,1.0,0.0,0.0,1.0,1969.2334695005961,1.0
0.0,1.0,0.0,0.0,0.0,1978.3170862261584,0.0
0.0,0.0,0.0,0.0,0.0,1969.3395975221715,0.0
-0.21959967217540613,1.0,0.0,0.0,1.0,1989.535286374895,0.0
0.0,0.0,0.0,0.0,1.0,1964.1759503243322,0.0
2.0,1.0,0.0,0.0,0.0,1970.5475957413762,0.0
0.0,0.0,0.0,0.0,1.0,1963.908752041736,0.0
0.0,0.0,0.0,0.0,1.0,1975.0481832549422,0.0
-0.638444398865822,0.0,0.0,0.0,0.0,1972.3960952636942,0.0
0.3917530686276065,0.0,0.0,0.0,1.0,1982.9811678359144,1.0
0.0,1.0,0.0,0.0,0.0,1972.7423347622946,1.0
0.0,1.0,0.0,0.0,0.0,1980.2177122924968,0.0
0.0,0.0,0.0,0.0,0.0,1968.6197187406744,0.0
0.0,1.0,0.0,0.0,0.0,1969.2264915904855,0.0
0.0,1.0,0.0,0.0,1.0,1980.2911714082593,1.0
0.0,1.0,0.0,0.0,1.0,1979.5604116406703,0.0
0.0,0.0,0.0,0.0,1.0,1973.221233588802,0.0
0.44086966968463115,0.0,0.0,0.0,1.0,1972.2537563695912,0.0
0.0,1.0,0.0,0.0,0.0,1967.0,0.0
0.48145086344692134,1.0,0.0,0.0,1.0,1970.5909583772377,0.0
0.2666078366434625,1.0,0.0,0.0,0.0,1976.2422012311283,0.0
-0.6274480608135289,1.0,0.0,0.0,1.0,1958.4234560145687,0.0
0.26674896021211913,0.0,0.0,0.0,1.0,1971.2278269696405,0.0
-0.5212125924144545,1.0,0.0,0.0,1.0,1975.8016800059515,0.0
0.0,0.0,0.0,0.0,0.0,1970.029749413312,0.0
0.7964660774887432,0.0,0.0,0.0,0.0,1986.592191553951,0.0
