is_discounted,category,brand,weight,length,width,height
False,Baby Bedding,Kiinde,19.2140793918919,52.0,28.0,19.591099966972106
False,Baby Bedding,Kiinde,19.2140793918919,26.6155867355299,18.0,20.0
False,Baby Bedding,Kiinde,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106
False,Baby Bedding,Kiinde,19.2140793918919,18.0,0.75,23.0
False,Baby Bedding,Kiinde,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106
False,Nursing & Feeding,Kiinde,19.2140793918919,26.6155867355299,19.29409486748,5.0
False,Bath Tubs & Accessories,Seventh Generation,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106
False,Nursing & Feeding,Kiinde,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106
False,Nursing & Feeding,Kiinde,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106
False,Nursing & Feeding,Kiinde,37.8,26.6155867355299,19.29409486748,19.591099966972106
False,Nursing & Feeding,Kiinde,20.0,28.0,20.0,39.0
False,Nursing & Feeding,Graco,19.2140793918919,29.0,0.5,41.0
False,Nursing & Feeding,Kiinde,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106
False,Baby Bedding,Kiinde,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106
False,Nursing & Feeding,Kiinde,19.2140793918919,26.6155867355299,19.29409486748,5.5
False,Baby Bedding,Kiinde,19.2140793918919,154.0,19.29409486748,9.0
False,Baby Bedding,Kiinde,19.2140793918919,5.5,12.0,15.0
False,Bath Tubs & Accessories,Kiinde,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106
False,Baby Bedding,Kiinde,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106
True,Baby Bedding,Wendy Bellissimo,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106
False,Nursing & Feeding,Kiinde,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106
False,Nursing & Feeding,J.L. Childress,19.2140793918919,11.0,4.0,9.5
False,Baby Bedding,Nurture Imagination,19.2140793918919,26.6155867355299,19.29409486748,19.591099966972106
